ML Model Name,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.901249585314608,0.9055740146044154,0.6444833625218914,0.34782608695652173,0.4518109269490485,0.42605817794513523
Decision Tree,0.8745991374543846,0.7014571863832587,0.46487985212569316,0.47542533081285443,0.4700934579439252,0.39902087033749317
KNN,0.8961627778392126,0.8277209275898927,0.5990016638935108,0.34026465028355385,0.43399638336347196,0.40012752249162636
Naive Bayes,0.8548048214088245,0.8100945416322902,0.4059040590405904,0.5198487712665406,0.45586406962287607,0.37735837569864067
Random Forest,0.8979321021784806,0.9200822548895435,0.7227722772277227,0.20699432892249528,0.3218221895664952,0.35092126529889595
XGBoost,0.9054517306203693,0.9287471902065902,0.6267166042446941,0.47448015122873344,0.5400753093060785,0.4943834133466639
